,Learning Rate,Lambda Value,Epoch,Train Loss,Val mIoU,Test mIoU
127,0.0002,0.2,28,0.18602344393730164,0.9569119155278323,0.9464114949847303
128,0.0002,0.5,0,1.3373124599456787,0.2884086768840439,0.2834882688733513
129,0.0002,0.5,1,0.431027352809906,0.563622589741843,0.6106484293371698
130,0.0002,0.5,2,0.319273442029953,0.5787910563835283,0.6340574293375358
131,0.0002,0.8,0,1.3009687662124634,0.30611586386926215,0.302211748376073
132,0.0002,0.8,1,0.34767773747444153,0.745717107692874,0.8103204464533529
133,0.0002,0.8,2,0.24455077946186066,0.8387919180916593,0.8867341108737046
134,0.0002,0.8,3,0.2278183549642563,0.8742991934508453,0.9048123451776964
135,0.0002,0.8,5,0.21291211247444153,0.8764610324037811,0.9047814687656124
136,0.0002,0.8,9,0.2026093751192093,0.9191521341097469,0.9290751050122883
137,0.0002,0.8,13,0.19632811844348907,0.9444718014849411,0.9405714107093253
138,0.0002,0.8,26,0.18671679496765137,0.9468284272764044,0.9334950742141626
139,0.0002,0.8,28,0.19056640565395355,0.9493078266467868,0.9446006687880852
140,0.0002,0.8,38,0.17960546910762787,0.9517400892882248,0.9412373984522473
141,0.0002,0.8,42,0.18110351264476776,0.9572007461569747,0.9480924733195966
142,0.0005,0.2,0,1.2967499494552612,0.2939909146113434,0.28925397396611063
143,0.0005,0.2,1,0.31803515553474426,0.7150978203253031,0.7775642847637835
144,0.0005,0.2,2,0.23801757395267487,0.8316391474084296,0.8768420225884628
145,0.0005,0.2,5,0.21297460794448853,0.8721311902071665,0.9056996608277135
146,0.0005,0.2,6,0.2045859396457672,0.8925263879722614,0.9129026117162844
147,0.0005,0.2,7,0.20514649152755737,0.9033990519553765,0.9222869758457906
148,0.0005,0.2,10,0.20064061880111694,0.9204728812887807,0.9137404702407164
149,0.0005,0.2,24,0.18879492580890656,0.9247184000013808,0.9269578570807688
150,0.0005,0.2,25,0.18755078315734863,0.9248880773851063,0.9239104239196622
151,0.0005,0.2,27,0.1892382800579071,0.9499912635313393,0.9208593489645894
152,0.0005,0.2,42,0.1802109330892563,0.9585288274482022,0.9451678963565133
153,0.0005,0.5,0,1.3217500448226929,0.29323408412744745,0.2880957664422133
154,0.0005,0.5,1,0.39008983969688416,0.4920599676124058,0.5289854338672164
155,0.0005,0.5,10,0.3985195457935333,0.6644146526760033,0.5827993517032874
156,0.0005,0.5,11,0.36085936427116394,0.6800959263574016,0.581277973004563
157,0.0005,0.5,12,0.34824609756469727,0.761440706182666,0.6681665068992869
158,0.0005,0.5,17,0.3204413950443268,0.7961040224812496,0.7460225522895971
159,0.0005,0.5,20,0.30351951718330383,0.8324446138195856,0.7881861585957708
